time, x1, x2, x3
0,0.000980127,0.00101193,0.00194408
0.01,0.00094124,0.00102359,0.00378046
0.02,0.000884387,0.00103479,0.00551511
0.03,0.000810564,0.00104536,0.00715366
0.04,0.000720712,0.00105513,0.00870143
0.05,0.000615722,0.00106394,0.0101634
0.06,0.000496438,0.00107165,0.0115445
0.07,0.000363659,0.00107811,0.0128489
0.08,0.000218142,0.00108319,0.0140811
0.09,6.06049e-005,0.00108676,0.0152451
0.1,-0.000108274,0.00108871,0.0163444
0.11,-0.000287849,0.00108892,0.0173829
0.12,-0.000477512,0.00108727,0.0183638
0.13,-0.000676683,0.00108368,0.0192903
0.14,-0.000884813,0.00107804,0.0201654
0.15,-0.00110138,0.00107027,0.020992
0.16,-0.0013259,0.00106027,0.0217727
0.17,-0.00155789,0.00104797,0.0225101
0.18,-0.00179692,0.00103328,0.0232066
0.19,-0.00204255,0.00101614,0.0238645
0.2,-0.0022944,0.00099647,0.0244858
0.21,-0.00255207,0.000974214,0.0250726
0.22,-0.00281522,0.000949306,0.0256269
0.23,-0.00308349,0.000921688,0.0261503
0.24,-0.00335655,0.000891305,0.0266447
0.25,-0.00363411,0.000858105,0.0271116
0.26,-0.00391585,0.000822039,0.0275525
0.27,-0.0042015,0.000783061,0.0279689
0.28,-0.0044908,0.000741127,0.0283621
0.29,-0.00478349,0.000696196,0.0287335
0.3,-0.00507932,0.00064823,0.0290841
0.31,-0.00537806,0.000597191,0.0294153
0.32,-0.00567949,0.000543046,0.029728
0.33,-0.00598341,0.000485763,0.0300233
0.34,-0.00628961,0.000425312,0.0303021
0.35,-0.0065979,0.000361663,0.0305653
0.36,-0.00690809,0.000294792,0.0308139
0.37,-0.00722001,0.000224673,0.0310485
0.38,-0.0075335,0.000151283,0.0312701
0.39,-0.00784839,7.4601e-005,0.0314793
0.4,-0.00816452,-5.3928e-006,0.0316767
0.41,-0.00848177,-8.87169e-005,0.0318632
0.42,-0.00879997,-0.000175388,0.0320391
0.43,-0.009119,-0.000265423,0.0322052
0.44,-0.00943872,-0.000358835,0.032362
0.45,-0.00975902,-0.000455637,0.03251
0.46,-0.0100798,-0.000555841,0.0326497
0.47,-0.0104009,-0.000659459,0.0327815
0.48,-0.0107222,-0.000766499,0.0329059
0.49,-0.0110436,-0.000876971,0.0330233
0.5,-0.0113651,-0.000990882,0.0331341
0.51,-0.0116864,-0.00110824,0.0332386
0.52,-0.0120076,-0.00122905,0.0333372
0.53,-0.0123286,-0.00135331,0.0334303
0.54,-0.0126492,-0.00148103,0.033518
0.55,-0.0129693,-0.00161222,0.0336008
0.56,-0.0132889,-0.00174687,0.0336789
0.57,-0.0136079,-0.00188498,0.0337526
0.58,-0.0139262,-0.00202656,0.033822
0.59,-0.0142438,-0.00217161,0.0338875
0.6,-0.0145605,-0.00232013,0.0339493
0.61,-0.0148763,-0.0024721,0.0340075
0.62,-0.0151912,-0.00262754,0.0340624
0.63,-0.015505,-0.00278644,0.0341141
0.64,-0.0158177,-0.00294879,0.0341628
0.65,-0.0161293,-0.00311458,0.0342088
0.66,-0.0164396,-0.00328383,0.034252
0.67,-0.0167486,-0.00345651,0.0342928
0.68,-0.0170563,-0.00363262,0.0343312
0.69,-0.0173626,-0.00381216,0.0343674
0.7,-0.0176674,-0.00399512,0.0344014
0.71,-0.0179707,-0.00418149,0.0344335
0.72,-0.0182724,-0.00437126,0.0344637
0.73,-0.0185725,-0.00456442,0.0344921
0.74,-0.018871,-0.00476096,0.0345188
0.75,-0.0191677,-0.00496088,0.0345439
0.76,-0.0194626,-0.00516416,0.0345676
0.77,-0.0197557,-0.00537078,0.0345898
0.78,-0.020047,-0.00558075,0.0346107
0.79,-0.0203363,-0.00579404,0.0346303
0.8,-0.0206237,-0.00601065,0.0346488
0.81,-0.020909,-0.00623055,0.0346661
0.82,-0.0211924,-0.00645375,0.0346824
0.83,-0.0214736,-0.00668021,0.0346976
0.84,-0.0217527,-0.00690993,0.034712
0.85,-0.0220296,-0.0071429,0.0347254
0.86,-0.0223043,-0.00737909,0.034738
0.87,-0.0225768,-0.0076185,0.0347498
0.88,-0.022847,-0.0078611,0.0347608
0.89,-0.0231148,-0.00810688,0.0347712
0.9,-0.0233802,-0.00835582,0.0347809
0.91,-0.0236433,-0.0086079,0.0347899
0.92,-0.0239039,-0.00886311,0.0347984
0.93,-0.024162,-0.00912142,0.0348063
0.94,-0.0244175,-0.00938282,0.0348136
0.95,-0.0246706,-0.0096473,0.0348205
0.96,-0.024921,-0.00991482,0.0348269
0.97,-0.0251688,-0.0101854,0.0348329
0.98,-0.0254139,-0.0104589,0.0348385
0.99,-0.0256564,-0.0107355,0.0348436
1,-0.0258961,-0.011015,0.0348484
1.01,-0.026133,-0.0112975,0.0348529
1.02,-0.0263672,-0.0115828,0.034857
1.03,-0.0265985,-0.0118711,0.0348608
1.04,-0.026827,-0.0121623,0.0348643
1.05,-0.0270525,-0.0124563,0.0348676
1.06,-0.0272752,-0.0127531,0.0348705
1.07,-0.0274949,-0.0130528,0.0348733
1.08,-0.0277116,-0.0133552,0.0348758
1.09,-0.0279253,-0.0136605,0.0348781
1.1,-0.0281359,-0.0139684,0.0348802
1.11,-0.0283435,-0.014279,0.0348822
1.12,-0.028548,-0.0145924,0.0348839
1.13,-0.0287493,-0.0149084,0.0348855
1.14,-0.0289475,-0.015227,0.0348869
1.15,-0.0291425,-0.0155482,0.0348882
1.16,-0.0293343,-0.015872,0.0348893
1.17,-0.0295228,-0.0161984,0.0348903
1.18,-0.0297081,-0.0165273,0.0348912
1.19,-0.0298901,-0.0168586,0.034892
1.2,-0.0300688,-0.0171925,0.0348927
1.21,-0.0302441,-0.0175288,0.0348933
1.22,-0.0304161,-0.0178675,0.0348937
1.23,-0.0305846,-0.0182085,0.0348941
1.24,-0.0307498,-0.018552,0.0348945
1.25,-0.0309115,-0.0188977,0.0348947
1.26,-0.0310697,-0.0192458,0.0348949
1.27,-0.0312244,-0.0195961,0.034895
1.28,-0.0313757,-0.0199487,0.0348951
1.29,-0.0315234,-0.0203034,0.0348951
1.3,-0.0316675,-0.0206603,0.034895
1.31,-0.0318081,-0.0210194,0.0348949
1.32,-0.031945,-0.0213806,0.0348948
1.33,-0.0320783,-0.0217438,0.0348946
1.34,-0.032208,-0.0221091,0.0348944
1.35,-0.032334,-0.0224764,0.0348942
1.36,-0.0324564,-0.0228457,0.0348939
1.37,-0.032575,-0.0232169,0.0348936
1.38,-0.0326899,-0.02359,0.0348933
1.39,-0.0328011,-0.023965,0.034893
1.4,-0.0329084,-0.0243419,0.0348926
1.41,-0.0330121,-0.0247206,0.0348923
1.42,-0.0331119,-0.025101,0.0348919
1.43,-0.0332079,-0.0254832,0.0348915
1.44,-0.0333,-0.0258671,0.0348911
1.45,-0.0333883,-0.0262526,0.0348907
1.46,-0.0334728,-0.0266398,0.0348902
1.47,-0.0335533,-0.0270286,0.0348898
1.48,-0.03363,-0.027419,0.0348894
1.49,-0.0337028,-0.0278109,0.034889
1.5,-0.0337716,-0.0282043,0.0348885
1.51,-0.0338364,-0.0285991,0.0348881
1.52,-0.0338973,-0.0289954,0.0348877
1.53,-0.0339543,-0.0293931,0.0348873
1.54,-0.0340072,-0.0297921,0.0348868
1.55,-0.0340562,-0.0301924,0.0348864
1.56,-0.0341011,-0.0305939,0.034886
1.57,-0.034142,-0.0309967,0.0348856
1.58,-0.0341789,-0.0314008,0.0348852
1.59,-0.0342117,-0.0318059,0.0348849
1.6,-0.0342404,-0.0322122,0.0348845
1.61,-0.0342651,-0.0326196,0.0348841
1.62,-0.0342857,-0.033028,0.0348838
1.63,-0.0343022,-0.0334374,0.0348835
1.64,-0.0343147,-0.0338477,0.0348832
1.65,-0.0343229,-0.034259,0.0348829
1.66,-0.0343271,-0.0346712,0.0348826
1.67,-0.0343272,-0.0350843,0.0348823
1.68,-0.0343231,-0.0354981,0.034882
1.69,-0.0343148,-0.0359127,0.0348818
1.7,-0.0343025,-0.036328,0.0348816
1.71,-0.0342859,-0.036744,0.0348814
1.72,-0.0342652,-0.0371607,0.0348812
1.73,-0.0342403,-0.037578,0.034881
1.74,-0.0342113,-0.0379958,0.0348809
1.75,-0.034178,-0.0384142,0.0348807
1.76,-0.0341406,-0.038833,0.0348806
1.77,-0.034099,-0.0392523,0.0348805
1.78,-0.0340532,-0.039672,0.0348804
1.79,-0.0340031,-0.040092,0.0348804
1.8,-0.0339489,-0.0405124,0.0348804
1.81,-0.0338905,-0.0409331,0.0348803
1.82,-0.0338279,-0.0413539,0.0348804
1.83,-0.033761,-0.041775,0.0348804
1.84,-0.03369,-0.0421962,0.0348804
1.85,-0.0336147,-0.0426176,0.0348805
1.86,-0.0335352,-0.043039,0.0348806
1.87,-0.0334515,-0.0434604,0.0348807
1.88,-0.0333636,-0.0438819,0.0348809
1.89,-0.0332715,-0.0443032,0.034881
1.9,-0.0331752,-0.0447245,0.0348812
1.91,-0.0330747,-0.0451456,0.0348814
1.92,-0.0329699,-0.0455665,0.0348817
1.93,-0.032861,-0.0459873,0.0348819
1.94,-0.0327478,-0.0464077,0.0348822
